/* alpha tx ty tz*/
0.007486 -0.000251 0.000070 0.000112 
0.007168 -0.000248 0.000066 0.000123 
0.006795 -0.000241 0.000054 0.000108 
0.006644 -0.000235 0.000049 0.000082 
0.006324 -0.000220 0.000048 0.000073 
0.006117 -0.000205 0.000044 0.000045 
0.005796 -0.000197 0.000044 0.000051 
0.005535 -0.000188 0.000043 0.000079 
0.005378 -0.000184 0.000042 0.000070 
0.005175 -0.000170 0.000043 0.000058 
0.004938 -0.000173 0.000048 0.000084 
0.004782 -0.000163 0.000048 0.000082 
0.004517 -0.000155 0.000048 0.000072 
0.004437 -0.000151 0.000049 0.000078 
0.004240 -0.000143 0.000048 0.000066 
0.004087 -0.000140 0.000050 0.000060 
0.003940 -0.000136 0.000051 0.000075 
0.003748 -0.000141 0.000050 0.000054 
0.003589 -0.000133 0.000051 0.000056 
0.003403 -0.000137 0.000055 0.000080 
0.003179 -0.000134 0.000050 0.000060 
0.003054 -0.000127 0.000049 0.000082 
0.002939 -0.000125 0.000044 0.000048 
0.002794 -0.000126 0.000042 0.000075 
0.002727 -0.000120 0.000038 0.000073 
0.002484 -0.000119 0.000030 0.000063 
0.002383 -0.000118 0.000027 0.000081 
0.002278 -0.000113 0.000023 0.000077 
0.002088 -0.000105 0.000019 0.000092 
0.002028 -0.000110 0.000012 0.000070 
0.001908 -0.000094 0.000007 0.000064 
0.001798 -0.000097 0.000004 0.000040 
0.001738 -0.000097 0.000008 0.000062 
0.001574 -0.000092 0.000002 0.000024 
0.001476 -0.000084 0.000001 0.000019 
0.001449 -0.000071 0.000000 0.000030 
0.001305 -0.000072 0.000000 0.000018 
0.001227 -0.000076 0.000000 0.000033 
0.001155 -0.000070 0.000002 0.000037 
0.001084 -0.000064 -0.000003 0.000022 
0.000954 -0.000063 -0.000001 0.000028 
0.001007 -0.000057 -0.000002 0.000023 
0.000849 -0.000062 0.000000 0.000049 
0.000789 -0.000053 -0.000002 0.000022 
0.000720 -0.000048 -0.000000 0.000038 
0.000697 -0.000039 0.000001 0.000041 
0.000662 -0.000039 0.000003 0.000049 
0.000630 -0.000034 0.000002 0.000041 
0.000554 -0.000030 0.000002 0.000038 
0.000560 -0.000019 0.000003 0.000041 
0.000430 -0.000018 0.000002 0.000031 
0.000380 -0.000018 0.000004 0.000032 
0.000394 -0.000005 0.000002 0.000026 
0.000261 -0.000010 0.000001 0.000011 
0.000287 0.000004 -0.000001 0.000007 
0.000253 0.000001 0.000003 0.000043 
0.000111 0.000001 0.000002 0.000021 
0.000139 0.000010 0.000001 0.000006 
0.000119 0.000005 0.000003 0.000015 
